iter	Passed	Remaining
0	2	2596
1	5	2737
2	7	2623
3	10	2537
4	12	2499
5	15	2513
6	17	2519
7	20	2522
8	22	2522
9	26	2603
10	28	2586
11	31	2562
12	33	2575
13	36	2552
14	38	2546
15	41	2539
16	44	2549
17	46	2551
18	49	2542
19	51	2538
20	54	2535
21	57	2534
22	59	2532
23	62	2544
24	65	2556
25	67	2545
26	70	2536
27	73	2541
28	75	2537
29	78	2530
30	81	2533
31	83	2538
32	86	2534
33	89	2531
34	92	2540
35	95	2549
36	97	2541
37	100	2537
38	102	2533
39	105	2525
40	107	2519
41	110	2526
42	113	2520
43	115	2512
44	117	2503
45	121	2518
46	124	2516
47	126	2511
48	129	2510
49	131	2504
50	134	2496
51	136	2489
52	139	2491
53	142	2489
54	144	2481
55	146	2473
56	149	2473
57	152	2471
58	154	2471
59	157	2475
60	160	2474
61	163	2466
62	165	2460
63	168	2460
64	171	2460
65	173	2456
66	176	2455
67	179	2457
68	182	2456
69	184	2451
70	187	2451
71	189	2445
72	192	2438
73	194	2432
74	197	2440
75	200	2434
76	202	2428
77	204	2422
78	207	2421
79	210	2417
80	212	2412
81	215	2409
82	218	2414
83	220	2408
84	223	2402
85	226	2402
86	228	2398
87	230	2392
88	233	2386
89	236	2389
90	238	2384
91	241	2378
92	243	2374
93	246	2373
94	248	2370
95	251	2365
96	253	2363
97	256	2360
98	258	2355
99	261	2350
100	263	2346
101	266	2343
102	268	2337
103	270	2333
104	274	2339
105	277	2337
106	279	2333
107	282	2331
108	285	2330
109	287	2325
110	289	2320
111	292	2319
112	295	2316
113	297	2310
114	299	2307
115	302	2307
116	305	2302
117	307	2296
118	309	2292
119	312	2291
120	315	2288
121	317	2284
122	319	2279
123	322	2277
124	324	2273
125	327	2269
126	329	2264
127	332	2263
128	334	2259
129	336	2254
130	339	2251
131	341	2248
132	344	2245
133	346	2242
134	349	2239
135	352	2237
136	354	2234
137	357	2230
138	359	2228
139	362	2227
140	365	2225
141	367	2221
142	370	2221
143	373	2217
144	375	2213
145	377	2209
146	380	2207
147	382	2203
148	384	2198
149	387	2195
150	390	2193
151	392	2190
152	394	2186
153	397	2183
154	400	2181
155	402	2179
156	405	2175
157	407	2173
158	410	2172
159	413	2168
160	415	2165
161	418	2164
162	420	2160
163	423	2157
164	425	2152
165	428	2152
166	430	2149
167	433	2145
168	435	2142
169	438	2138
170	440	2134
171	442	2131
172	445	2128
173	448	2127
174	450	2123
175	452	2119
176	455	2116
177	457	2114
178	460	2111
179	462	2106
180	464	2103
181	467	2102
182	470	2098
183	472	2095
184	475	2094
185	478	2091
186	480	2088
187	482	2085
188	485	2084
189	487	2080
190	490	2077
191	493	2075
192	496	2074
193	498	2070
194	501	2068
195	504	2067
196	507	2066
197	509	2065
198	512	2064
199	515	2061
200	517	2058
201	520	2054
202	522	2052
203	525	2051
204	528	2048
205	530	2044
206	532	2041
207	535	2037
208	537	2033
209	539	2030
210	542	2028
211	544	2024
212	546	2020
213	548	2016
214	551	2014
215	554	2011
216	556	2007
217	558	2004
218	561	2003
219	563	1999
220	566	1995
221	568	1991
222	571	1989
223	573	1986
224	575	1982
225	577	1978
226	580	1976
227	583	1974
228	585	1970
229	587	1966
230	590	1964
231	592	1960
232	594	1957
233	597	1954
234	600	1954
235	603	1952
236	605	1949
237	607	1946
238	610	1943
239	612	1940
240	615	1937
241	617	1935
242	620	1932
243	622	1928
244	624	1925
245	627	1922
246	629	1919
247	632	1916
248	634	1913
249	636	1910
250	639	1907
251	641	1904
252	643	1901
253	646	1897
254	648	1894
255	650	1891
256	652	1887
257	655	1884
258	658	1883
259	660	1880
260	663	1877
261	665	1875
262	668	1872
263	670	1869
264	672	1866
265	675	1863
266	677	1860
267	679	1857
268	682	1853
269	684	1851
270	687	1848
271	689	1845
272	691	1842
273	694	1839
274	696	1837
275	699	1835
276	701	1832
277	704	1829
278	707	1827
279	709	1824
280	712	1822
281	714	1820
282	717	1817
283	719	1814
284	722	1812
285	725	1810
286	727	1807
287	729	1804
288	732	1801
289	734	1799
290	737	1796
291	739	1793
292	742	1790
293	744	1787
294	746	1785
295	749	1782
296	751	1779
297	754	1777
298	756	1774
299	759	1771
300	761	1768
301	764	1766
302	766	1763
303	768	1759
304	771	1757
305	773	1754
306	776	1752
307	778	1749
308	781	1747
309	783	1745
310	786	1742
311	788	1738
312	791	1736
313	793	1733
314	795	1730
315	797	1727
316	800	1724
317	802	1721
318	805	1718
319	807	1715
320	809	1712
321	812	1710
322	814	1707
323	816	1703
324	818	1700
325	821	1698
326	823	1695
327	825	1691
328	828	1689
329	831	1688
330	834	1686
331	836	1683
332	839	1681
333	842	1679
334	845	1677
335	847	1674
336	850	1672
337	852	1669
338	855	1667
339	858	1665
340	861	1664
341	863	1662
342	866	1659
343	869	1658
344	871	1655
345	874	1652
346	877	1650
347	879	1647
348	881	1644
349	884	1641
350	886	1639
351	889	1636
352	891	1634
353	893	1631
354	896	1628
355	898	1625
356	900	1622
357	903	1619
358	905	1617
359	908	1615
360	910	1612
361	912	1609
362	915	1606
363	917	1603
364	920	1600
365	922	1597
366	925	1595
367	927	1593
368	929	1589
369	931	1586
370	934	1584
371	937	1582
372	939	1579
373	942	1577
374	945	1575
375	947	1572
376	950	1570
377	952	1567
378	955	1565
379	957	1562
380	960	1559
381	962	1556
382	964	1554
383	967	1551
384	969	1548
385	971	1545
386	974	1543
387	976	1540
388	979	1537
389	981	1535
390	984	1533
391	987	1530
392	989	1527
393	991	1525
394	994	1522
395	996	1519
396	998	1516
397	1001	1515
398	1003	1512
399	1006	1509
400	1008	1506
401	1010	1503
402	1013	1501
403	1015	1498
404	1018	1495
405	1021	1493
406	1023	1491
407	1025	1488
408	1027	1485
409	1030	1483
410	1033	1480
411	1035	1477
412	1037	1474
413	1040	1472
414	1043	1470
415	1046	1469
416	1049	1466
417	1052	1465
418	1054	1462
419	1056	1459
420	1060	1457
421	1062	1455
422	1064	1452
423	1067	1450
424	1070	1448
425	1072	1445
426	1075	1442
427	1077	1440
428	1080	1438
429	1083	1435
430	1085	1433
431	1089	1432
432	1092	1430
433	1094	1427
434	1097	1425
435	1099	1422
436	1102	1419
437	1104	1417
438	1107	1414
439	1109	1412
440	1111	1409
441	1113	1406
442	1116	1404
443	1119	1401
444	1121	1399
445	1124	1396
446	1127	1395
447	1130	1393
448	1133	1390
449	1136	1389
450	1139	1386
451	1141	1384
452	1144	1382
453	1147	1379
454	1150	1377
455	1152	1375
456	1156	1373
457	1158	1371
458	1161	1368
459	1164	1367
460	1167	1365
461	1170	1362
462	1173	1360
463	1175	1357
464	1177	1355
465	1180	1352
466	1183	1350
467	1185	1347
468	1187	1344
469	1190	1342
470	1194	1341
471	1196	1338
472	1198	1335
473	1201	1333
474	1204	1330
475	1206	1328
476	1213	1330
477	1216	1328
478	1220	1327
479	1224	1326
480	1228	1325
481	1232	1324
482	1236	1323
483	1240	1322
484	1246	1323
485	1248	1320
486	1251	1318
487	1254	1315
488	1256	1313
489	1260	1311
490	1263	1309
491	1265	1307
492	1268	1304
493	1271	1302
494	1273	1299
495	1276	1296
496	1278	1294
497	1281	1291
498	1283	1288
499	1286	1286
500	1289	1284
501	1291	1281
502	1294	1278
503	1296	1275
504	1299	1273
505	1301	1270
506	1303	1267
507	1306	1265
508	1309	1263
509	1311	1260
510	1314	1257
511	1316	1254
512	1319	1252
513	1322	1250
514	1324	1247
515	1327	1244
516	1329	1242
517	1331	1239
518	1333	1236
519	1336	1233
520	1338	1230
521	1340	1227
522	1343	1224
523	1345	1222
524	1347	1219
525	1350	1216
526	1352	1213
527	1354	1211
528	1357	1208
529	1359	1205
530	1361	1202
531	1364	1200
532	1367	1197
533	1369	1195
534	1371	1192
535	1374	1189
536	1376	1187
537	1379	1184
538	1381	1181
539	1383	1178
540	1386	1176
541	1388	1173
542	1390	1170
543	1393	1167
544	1395	1165
545	1398	1162
546	1400	1159
547	1402	1156
548	1405	1154
549	1407	1151
550	1409	1148
551	1412	1146
552	1414	1143
553	1417	1140
554	1419	1138
555	1422	1135
556	1424	1133
557	1427	1130
558	1429	1128
559	1432	1125
560	1435	1123
561	1437	1120
562	1440	1117
563	1442	1115
564	1445	1112
565	1447	1110
566	1449	1107
567	1452	1104
568	1455	1102
569	1457	1099
570	1459	1096
571	1462	1094
572	1464	1091
573	1466	1088
574	1468	1085
575	1471	1083
576	1474	1080
577	1476	1077
578	1478	1075
579	1481	1072
580	1483	1070
581	1486	1067
582	1488	1064
583	1491	1062
584	1493	1059
585	1495	1056
586	1497	1053
587	1500	1051
588	1503	1049
589	1505	1046
590	1507	1043
591	1510	1040
592	1512	1038
593	1514	1035
594	1517	1032
595	1519	1030
596	1521	1027
597	1524	1024
598	1526	1021
599	1528	1019
600	1531	1016
601	1533	1013
602	1535	1011
603	1538	1008
604	1540	1005
605	1542	1003
606	1545	1000
607	1548	998
608	1551	995
609	1553	993
610	1556	990
611	1558	988
612	1561	985
613	1563	983
614	1566	980
615	1568	977
616	1571	975
617	1573	972
618	1575	970
619	1578	967
620	1580	964
621	1582	961
622	1585	959
623	1587	956
624	1589	953
625	1592	951
626	1594	948
627	1597	946
628	1599	943
629	1602	940
630	1604	938
631	1607	935
632	1609	933
633	1611	930
634	1613	927
635	1616	925
636	1618	922
637	1621	919
638	1623	917
639	1626	914
640	1628	912
641	1630	909
642	1633	907
643	1635	904
644	1638	901
645	1640	898
646	1642	896
647	1645	893
648	1647	890
649	1649	888
650	1652	885
651	1654	883
652	1656	880
653	1659	877
654	1661	875
655	1664	872
656	1666	870
657	1669	867
658	1672	865
659	1674	862
660	1676	859
661	1679	857
662	1682	855
663	1684	852
664	1687	849
665	1689	847
666	1692	845
667	1695	842
668	1697	839
669	1700	837
670	1702	834
671	1705	832
672	1707	829
673	1709	826
674	1712	824
675	1714	821
676	1716	819
677	1719	816
678	1721	813
679	1723	811
680	1726	808
681	1728	806
682	1731	803
683	1733	800
684	1735	798
685	1738	795
686	1740	793
687	1743	790
688	1745	787
689	1748	785
690	1750	782
691	1753	780
692	1755	777
693	1757	775
694	1760	772
695	1762	769
696	1764	767
697	1767	764
698	1769	762
699	1771	759
700	1774	756
701	1776	754
702	1779	751
703	1781	749
704	1784	746
705	1786	744
706	1789	741
707	1791	738
708	1794	736
709	1796	733
710	1799	731
711	1801	728
712	1803	726
713	1806	723
714	1809	721
715	1811	718
716	1813	715
717	1816	713
718	1819	710
719	1821	708
720	1823	705
721	1826	703
722	1828	700
723	1830	697
724	1832	695
725	1835	692
726	1837	690
727	1840	687
728	1842	685
729	1845	682
730	1847	680
731	1850	677
732	1852	674
733	1855	672
734	1857	669
735	1859	667
736	1862	664
737	1865	662
738	1867	659
739	1869	656
740	1871	654
741	1874	651
742	1876	649
743	1878	646
744	1881	643
745	1884	641
746	1886	639
747	1889	636
748	1892	634
749	1894	631
750	1896	628
751	1899	626
752	1901	623
753	1904	621
754	1906	618
755	1909	616
756	1911	613
757	1914	611
758	1916	608
759	1918	605
760	1921	603
761	1923	600
762	1926	598
763	1928	595
764	1931	593
765	1933	590
766	1936	588
767	1938	585
768	1941	583
769	1943	580
770	1946	578
771	1948	575
772	1951	573
773	1953	570
774	1956	567
775	1958	565
776	1961	563
777	1964	560
778	1966	557
779	1969	555
780	1972	553
781	1975	550
782	1978	548
783	1981	545
784	1983	543
785	1986	540
786	1989	538
787	1991	535
788	1994	533
789	1996	530
790	1999	528
791	2002	525
792	2004	523
793	2007	520
794	2010	518
795	2012	515
796	2015	513
797	2018	510
798	2020	508
799	2022	505
800	2025	503
801	2028	500
802	2030	498
803	2032	495
804	2035	493
805	2038	490
806	2040	488
807	2043	485
808	2045	483
809	2048	480
810	2050	477
811	2053	475
812	2056	472
813	2058	470
814	2060	467
815	2063	465
816	2065	462
817	2068	460
818	2070	457
819	2072	454
820	2075	452
821	2078	449
822	2080	447
823	2083	444
824	2086	442
825	2089	440
826	2091	437
827	2094	435
828	2096	432
829	2099	429
830	2101	427
831	2104	424
832	2106	422
833	2108	419
834	2110	417
835	2113	414
836	2115	411
837	2117	409
838	2119	406
839	2122	404
840	2124	401
841	2126	399
842	2129	396
843	2133	394
844	2135	391
845	2137	389
846	2140	386
847	2143	384
848	2145	381
849	2147	379
850	2150	376
851	2153	374
852	2155	371
853	2157	368
854	2160	366
855	2162	363
856	2165	361
857	2167	358
858	2170	356
859	2172	353
860	2174	351
